[CAT]	Count	PRC_Count	Points	PRC_points	Score	PRC_score
[_TOTAL]	128	100.0	25529	100.0	1.3710847644215076	100.0
[TMP]	6	4.6875	2146	8.406126366093462	0.19271031182760123	14.055317134889918
[SPT]	0	0.0	0	0.0	0	0.0
[SOC]	8	6.25	920	3.6037447608601982	0.05547498949648191	4.046065636203616
[QTY]	0	0.0	0	0.0	0	0.0
[PER]	10	7.8125	1965	7.6971287555329235	0.11675553689193395	8.515559352830808
[MIND]	2	1.5625	105	0.4112969564025226	0.011289243628694254	0.8233804299807421
[FEEL]	1	0.78125	104	0.4073798425320224	0.006321445996449752	0.4610543534933754
[BODY]	10	7.8125	4114	16.115006463237886	0.13086121567961162	9.544356342900869
[BEHA]	27	21.09375	9885	38.72067060989463	0.3986582486925753	29.076119802175647
[???]	64	50.0	6290	24.638646245446356	0.45901377220815953	33.47814694752502
