Tabla para la cat INTERIOR con el attr prc_count

[MASC]	 	[FEM]	[model_name]
9.45945945945946	>	8.571428571428571	BSC-TeMU/roberta-base-bne
6.0606060606060606	<	6.0606060606060606	BSC-TeMU/roberta-large-bne
8.19672131147541	<	11.11111111111111	dccuchile/bert-base-spanish-wwm-uncased
6.122448979591836	<	10.0	dccuchile/bert-base-spanish-wwm-cased
5.194805194805195	>	2.9411764705882355	mrm8488/electricidad-base-generator
6.944444444444445	<	10.169491525423728	MMG/mlm-spanish-roberta-base
7.6923076923076925	>	6.818181818181818	bertin-project/bertin-roberta-base-spanish
