[CAT]	Count	PRC_Count	Points	PRC_points	Score	PRC_score
[_TOTAL]	191	100.0	15269	100.0	2.2976531432454728	100.0
[Reject Other Status]	11	5.7591623036649215	870	5.697819110616281	0.268148037022911	11.67051858158832
[Reject Other Love]	14	7.329842931937173	747	4.892265374287772	0.137776661053949	5.996408181059793
[Accept Other Status]	49	25.654450261780106	2880	18.86174602135045	0.4559638409873244	19.844763876903894
[Accept Other Love]	33	17.277486910994764	4053	26.543977994629643	0.5508593488794982	23.974869770874133
[???]	84	43.97905759162304	6719	44.004191499115855	0.8849052553017913	38.51343958957391
