[CAT]	Count	PRC_Count	Points	PRC_points	Score	PRC_score
[_TOTAL]	135	100.0	14559	100.0	1.398018676167957	100.0
[Reject Other Status]	13	9.62962962962963	1741	11.958238890033655	0.1453558917498644	10.397278250122708
[Reject Other Love]	9	6.666666666666667	346	2.376536850058383	0.06990231341416282	5.000098682928097
[Accept Other Status]	24	17.77777777777778	3451	23.703551068067863	0.2283392996658629	16.333065041144728
[Accept Other Love]	24	17.77777777777778	3895	26.753211072189025	0.2732154226592805	19.543045262326427
[???]	65	48.148148148148145	5126	35.208462119651074	0.6812057486787862	48.72651276347804
