[CAT]	Count	PRC_Count	Points	PRC_points	Score	PRC_score
[_TOTAL]	147	100.0	15981	100.0	1.675536620976987	100.0
[Reject Other Status]	8	5.442176870748299	780	4.880795945184907	0.09956412893635305	5.942223386218696
[Reject Other Love]	11	7.482993197278912	993	6.213628684062324	0.10804345084523613	6.44828943113384
[Accept Other Status]	40	27.210884353741495	3751	23.47162255178024	0.3624245523206804	21.630356972404137
[Accept Other Love]	30	20.408163265306122	4027	25.198673424691822	0.5594963820428761	33.39207123486444
[???]	58	39.45578231292517	6430	40.23527939428071	0.546008106831842	32.58705897537892
