[CAT]	Count	PRC_Count	Points	PRC_points	Score	PRC_score
[_TOTAL]	125	100.0	19926	100.0	0.8486589726609747	100.0
[Visible -]	3	2.4	179	0.8983237980527954	0.00836464988891314	0.9856314678068784
[Visible +]	10	8.0	3270	16.410719662752182	0.08213641372313554	9.678376870935141
[Invisible -]	10	8.0	731	3.6685737227742647	0.022649358643549604	2.6688410036522
[Invisible +]	35	28.0	9599	48.173240991669175	0.246850900556063	29.087172646282255
[???]	67	53.6	6147	30.84914182475158	0.4886576498493134	57.57997801132354
